id,category,question,answer,sources,updated
company-what-is-nanize,Company,What is Nanize?,"A company developing PFAS‑free polysilazane-based ceramic coatings with anti-adhesion, low friction, and rapid curing for industrial uses.",https://www.nanize.com/ | https://www.nanize.com/technology,2025-08-30
tech-core,Technology,What is the core technology?,"Polysilazane coatings enhanced with nanoparticles that covalently bond into the polymer backbone for durable, customizable surfaces.",https://www.nanize.com/technology | https://www.nanize.com/about,2025-08-30
tech-pfas-free,Technology,Are Nanize coatings PFAS‑free?,Yes. The company positions its coatings as PFAS‑free and a replacement for PFAS-based products.,https://www.nanize.com/ | https://www.nanize.com/technology,2025-08-30
tech-curing-speed,Technology,How fast do Nanize coatings cure?,"Company materials state full hard curing in less than 30 seconds and below 100°C, with FTIR validation.",https://www.nanize.com/ (homepage text) | https://www.nanize.com/privacy-policy,2025-08-30
tech-catalyst-free,Technology,Is a catalyst required for curing?,No. Nanize states ultra‑rapid hard curing without a catalyst.,https://www.nanize.com/ (homepage text),2025-08-30
performance-friction,Performance,How does friction compare to Teflon?,Nanize claims very low coefficient of friction and says its coatings are more slippery than Teflon®. Independent head‑to‑head data are not provided on the site.,https://www.nanize.com/ (homepage text),2025-08-30
applications-industries,Applications,Which industries are targeted?,"Automotive, electronics, windows/building, plastic films, blades and cutters, solar and wind, cookware, touchscreens and optical products.",https://www.nanize.com/ (markets section),2025-08-30
validation-ftir,Validation,How is curing validated?,By FTIR analysis across large sample sets; the technology page shows FTIR comparisons of uncured and ultra‑rapidly cured coatings.,"https://www.nanize.com/technology | https://www.nanize.com/ (claims of 10,000+ samples tested)",2025-08-30
process-conditions,Manufacturing,What processing conditions are typical?,Curing below 100°C in less than a minute; company materials also state <30 s at <100°C in some contexts.,https://www.nanize.com/technology | https://www.nanize.com/privacy-policy,2025-08-30
application-methods,Manufacturing,Which application methods are supported?,"Slot‑die, ultrasonic spray, and other wet chemistry techniques for roll‑to‑roll or sheet‑to‑sheet production.",https://www.nanize.com/ (commercially applicable section),2025-08-30
ip-status,IP,What is the IP status?,The company states it has filed a suite of patents that are pending on compositions and process technologies.,https://www.nanize.com/ (patent‑pending note),2025-08-30
contact,Contact,How do I contact Nanize?,"Use the site’s contact options; address listed as Rombaksveien 47, 8517 Narvik, Nordland, Norway.",https://www.nanize.com/technology (footer/contact),2025-08-30
media,Resources,Where can I find demos or talks?,"See the News & Media page for videos and presentations, including a CTO conference talk.",https://www.nanize.com/news-media,2025-08-30
pfas-context,Regulatory,Why is PFAS‑free relevant?,PFAS use is being restricted globally. Nanize presents its coatings as compliant alternatives to PFAS‑based non‑stick products.,https://www.nanize.com/technology | https://www.nanize.com/blog/pfas-free-polysilazane-coatings,2025-08-30
